"txn_time","txn_date","order_id","uid","shop_id","shop_owner_uid","gmv","rebate"
"2019-10-30 13:36:00","2019-10-30 00:00:00",142008469,102161515,10594,101437371,70000,20000
"2019-10-30 13:38:00","2019-10-30 00:00:00",142009186,101870144,10594,101437371,80000,20000
"2019-10-30 15:27:00","2019-10-30 00:00:00",142049269,103595389,10597,103832132,100000,20000
"2019-10-30 15:49:00","2019-10-30 00:00:00",142056393,103892677,10597,103832132,100000,20000
"2019-10-30 10:01:00","2019-10-30 00:00:00",141945193,103700195,10605,101417978,100000,20000
"2019-10-30 18:33:00","2019-10-30 00:00:00",142091306,103027387,10609,100878841,70000,20000
"2019-10-30 11:52:00","2019-10-30 00:00:00",141975348,100711970,10621,100906499,70000,20000
"2019-10-30 14:43:00","2019-10-30 00:00:00",142034367,1418031,10621,100906499,70000,20000
"2019-10-30 20:37:00","2019-10-30 00:00:00",142122031,100572811,10646,103958316,186000,20000
"2019-10-30 18:22:00","2019-10-30 00:00:00",142088999,102929030,10662,103969594,250000,20000
"2019-10-30 08:09:00","2019-10-30 00:00:00",141923384,100225335,10667,101458898,81000,20000
"2019-10-30 16:54:00","2019-10-30 00:00:00",142072091,100350289,10667,101458898,105000,20000
"2019-10-30 19:22:00","2019-10-30 00:00:00",142103189,100192275,10667,101458898,67000,20000
"2019-10-30 19:40:00","2019-10-30 00:00:00",142107652,100158791,10715,103930309,600000,20000
"2019-10-30 07:40:00","2019-10-30 00:00:00",141920130,1730250,1072,100276871,70000,20000
"2019-10-30 09:15:00","2019-10-30 00:00:00",141935196,104024274,10734,103927414,150000,20000
"2019-10-30 19:23:00","2019-10-30 00:00:00",142103536,100482678,10757,103686936,450000,20000
"2019-10-30 16:57:00","2019-10-30 00:00:00",142072510,103377824,10762,103654530,75000,20000
"2019-10-30 12:29:00","2019-10-30 00:00:00",141988706,100781413,10799,103543883,34000,10200
"2019-10-30 06:54:00","2019-10-30 00:00:00",141916663,103496953,10810,100178992,270000,0
"2019-10-30 07:23:00","2019-10-30 00:00:00",141918676,100667951,10810,100178992,120000,20000
"2019-10-30 00:59:00","2019-10-30 00:00:00",141908361,100985133,10824,103157062,87000,20000
"2019-10-30 01:19:00","2019-10-30 00:00:00",141909507,100887002,10824,103157062,25000,7500
"2019-10-30 14:33:00","2019-10-30 00:00:00",142029185,101102841,1083,101226517,315000,20000
"2019-10-30 21:04:00","2019-10-30 00:00:00",142128430,103982429,10837,103966917,740000,20000
"2019-10-30 06:27:00","2019-10-30 00:00:00",141914419,103993346,10873,103980077,120000,0
"2019-10-30 08:08:00","2019-10-30 00:00:00",141923318,103983981,10873,103980077,100000,0
"2019-10-30 11:11:00","2019-10-30 00:00:00",141962552,104037699,10873,103980077,100000,20000
"2019-10-30 17:37:00","2019-10-30 00:00:00",142080002,103993346,10873,103980077,120000,0
"2019-10-30 12:16:00","2019-10-30 00:00:00",141984695,1676740,10907,100125880,125000,20000
"2019-10-30 09:16:00","2019-10-30 00:00:00",141935459,1425982,10909,1028222,100000,20000
"2019-10-30 18:07:00","2019-10-30 00:00:00",142085739,103989699,10922,103989653,70000,20000
"2019-10-30 13:11:00","2019-10-30 00:00:00",142000847,100639721,10926,103305667,120000,20000
"2019-10-30 19:59:00","2019-10-30 00:00:00",142112400,1895228,1096,102977566,73000,20000
"2019-10-30 18:04:00","2019-10-30 00:00:00",142085192,102834577,10970,103992167,239000,20000
"2019-10-30 13:56:00","2019-10-30 00:00:00",142014509,1652619,10975,100411165,320000,20000
"2019-10-30 13:58:00","2019-10-30 00:00:00",142014972,1652619,10975,100411165,20000,0
"2019-10-30 19:57:00","2019-10-30 00:00:00",142111996,101540317,10975,100411165,240000,20000
"2019-10-30 08:48:00","2019-10-30 00:00:00",141929641,1191456,10979,102817559,90000,20000
"2019-10-30 08:51:00","2019-10-30 00:00:00",141930156,1638171,10979,102817559,80000,20000
"2019-10-30 08:51:00","2019-10-30 00:00:00",141930157,1191456,10979,102817559,20000,0
"2019-10-30 08:53:00","2019-10-30 00:00:00",141930550,103175209,10979,102817559,80000,20000
"2019-10-30 08:55:00","2019-10-30 00:00:00",141930955,1877192,10979,102817559,80000,20000
"2019-10-30 08:56:00","2019-10-30 00:00:00",141931090,102849459,10979,102817559,90000,20000
"2019-10-30 08:57:00","2019-10-30 00:00:00",141931235,103620593,10979,102817559,85000,20000
"2019-10-30 08:57:00","2019-10-30 00:00:00",141931281,102849459,10979,102817559,20000,0
"2019-10-30 08:59:00","2019-10-30 00:00:00",141931650,103261194,10979,102817559,90000,20000
"2019-10-30 09:00:00","2019-10-30 00:00:00",141931831,103261194,10979,102817559,20000,0
"2019-10-30 09:00:00","2019-10-30 00:00:00",141931919,103620593,10979,102817559,20000,0
"2019-10-30 09:02:00","2019-10-30 00:00:00",141932317,103585527,10979,102817559,85000,20000
"2019-10-30 09:03:00","2019-10-30 00:00:00",141932457,103585527,10979,102817559,20000,0
"2019-10-30 09:10:00","2019-10-30 00:00:00",141934016,103282624,10979,102817559,85000,20000
"2019-10-30 09:11:00","2019-10-30 00:00:00",141934226,103282624,10979,102817559,20000,0
